SOLUSDT|orderflow|short|INITIAL_SL|overnight|na|2|0.000|-1.100|-11.0046|2.23|1.18|1.18|2240882
1000PEPEUSDT|cryptoorderflow|long|INITIAL_SL|us_main|na|6|0.000|-0.367|-10.9955|3.91|0.27|1.20|1448351
1000PEPEUSDT|cryptoorderflow|long|INITIAL_SL|overnight|na|10|0.000|-0.220|-10.9955|4.10|0.27|0.74|1571112
SOLUSDT|orderflow|long|INITIAL_SL|overnight|na|2|0.000|-1.100|-10.9954|2.85|1.15|0.84|2583256
1000PEPEUSDT|orderflow|long|INITIAL_SL|overnight|na|2|0.000|-1.100|-10.9954|4.00|0.27|0.26|2387535
BTCUSDT|cryptoorderflow|long|INITIAL_SL|unknown|na|2|0.000|-1.100|-10.9954|74.69|||2629290
1000PEPEUSDT|cryptoorderflow|long|INITIAL_SL|european|na|5|0.000|-0.440|-10.9954|4.38|0.27|0.70|2318365
BTCUSDT|orderflow|short|INITIAL_SL|overnight|range|7|0.000|-1.116|-10.3935|2.48|0.01|0.88|1054234
ETHUSDT|orderflow|long|INITIAL_SL|asian|trending_bull|5|0.000|-1.262|-10.3456|2.57|0.05|1.83|1868319
SOLUSDT|cryptoorderflow|long|TIMEOUT|us_main|na|7|0.143|-0.318|-8.9769|3.26|1.17|1.86|3614730
BTCUSDT|cryptoorderflow|short|INITIAL_SL|unknown|na|5|0.000|-1.190|-8.9309|13.48|||1258984
1000PEPEUSDT|cryptoorderflow|long|TIMEOUT|asian|na|13|0.308|-0.137|-8.9118|4.87|0.27|1.18|3608072
ETHUSDT|orderflow|long|INITIAL_SL|overnight|range|4|0.000|-1.265|-8.8546|2.39|0.05|1.23|1649125
BTCUSDT|orderflow|long|INITIAL_SL|asian|range|4|0.000|-1.263|-8.5786|3.80|0.01|0.40|937421
SOLUSDT|cryptoorderflow|long|INITIAL_SL|european|na|3|0.000|-0.897|-7.8823|5.16|1.17|1.63|1695183
BTCUSDT|orderflow|long|INITIAL_SL|european|trending_bull|4|0.000|-1.284|-7.6644|7.21|0.02|1.83|2035685
SOLUSDT|cryptoorderflow|long|INITIAL_SL|overnight|na|4|0.000|-0.837|-7.4050|2.25|1.17|1.35|781214
ETHUSDT|orderflow|short|INITIAL_SL|asian|range|3|0.000|-1.270|-7.0308|5.23|0.05|2.36|874178
1000PEPEUSDT|orderflow|long|TIMEOUT|european|na|3|0.000|-0.464|-6.9650|4.27|0.28|0.40|3620022
BTCUSDT|orderflow|short|INITIAL_SL|asian|expansion|4|0.000|-1.271|-6.9335|3.48|0.01|1.58|1327561
BTCUSDT|cryptoorderflow|long|TIMEOUT|us_main|na|28|0.286|-0.049|-6.8047|3.94|0.01|0.99|3594904
BTCUSDT|orderflow|long|INITIAL_SL|asian|trending_bull|4|0.000|-1.263|-6.7769|2.85|0.01|0.80|1657016
SOLUSDT|orderflow|short|TIMEOUT|us_main|na|23|0.522|-0.054|-6.0874|3.52|1.17|1.81|3597780
BTCUSDT|orderflow|short|INITIAL_SL|overnight|trending_bear|5|0.000|-1.043|-6.0564|1.92|0.01|0.92|711291
1000PEPEUSDT|orderflow|short|TIMEOUT|unknown|na|8|0.000|-0.155|-6.0297|13.47|0.27||3615239
BTCUSDT|orderflow|long|INITIAL_SL|unknown|na|4|0.000|-1.064|-6.0041|7.02|0.01||1515920
ETHUSDT|orderflow|short|INITIAL_SL|asian|expansion|4|0.000|-1.091|-5.9895|4.10|0.05|1.74|1019779
BTCUSDT|cryptoorderflow|short|INITIAL_SL|us_main|na|3|0.000|-1.190|-5.9205|4.54|0.01|0.80|451390
SOLUSDT|cryptoorderflow|short|TIMEOUT|european|na|10|0.300|-0.110|-5.5157|3.53|1.18|1.20|3614986
SOLUSDT|cryptoorderflow|short|INITIAL_SL|european|na|4|0.000|-0.277|-5.5080|2.11|1.18|1.08|830945
BTCUSDT|orderflow|short|INITIAL_SL|european|na|1|0.000|-1.100|-5.5023|3.05|0.01|0.17|3324899
1000PEPEUSDT|orderflow|short|INITIAL_SL|overnight|na|1|0.000|-1.100|-5.5023|4.27|0.27|0.40|1387421
1000PEPEUSDT|orderflow|short|INITIAL_SL|us_main|na|1|0.000|-1.100|-5.5023|4.28|0.28|1.11|430258
1000PEPEUSDT|cryptoorderflow|short|INITIAL_SL|asian|na|3|0.000|-0.367|-5.5023|6.81|0.27|1.38|499701
SOLUSDT|orderflow|long|INITIAL_SL|unknown|na|1|0.000|-1.100|-5.4977|25.25|||2498238
1000PEPEUSDT|orderflow|long|INITIAL_SL|us_main|na|1|0.000|-1.100|-5.4977|4.82|0.27|0.87|3464598
ETHUSDT|orderflow|long|INITIAL_SL|us_main|trending_bull|3|0.000|-1.190|-5.1884|3.28|0.05|1.53|136377
ETHUSDT|orderflow|short|INITIAL_SL|asian|trending_bear|2|0.000|-1.234|-5.1664|4.05|0.05|1.87|1885688
1000PEPEUSDT|cryptoorderflow|long|TIMEOUT|overnight|na|9|0.333|-0.109|-4.8967|5.86|0.27|0.72|2967060
ETHUSDT|orderflow|short|INITIAL_SL|overnight|expansion|2|0.000|-1.270|-4.6631|6.45|0.05|1.06|1942437
BTCUSDT|cryptoorderflow|long|INITIAL_SL|overnight|na|3|0.000|-1.063|-4.6600|2.91|0.01|0.29|1673995
1000PEPEUSDT|orderflow|long|TIMEOUT|overnight|na|5|0.200|-0.185|-4.6198|4.27|0.27|0.92|3615602
ETHUSDT|orderflow|short|TIMEOUT|overnight|range|7|0.286|-0.327|-4.4241|1.96|0.05|1.89|3620352
SOLUSDT|cryptoorderflow|long|INITIAL_SL|unknown|na|2|0.000|-1.292|-4.4185|4.89|||2048716
BTCUSDT|orderflow|short|INITIAL_SL|overnight|trending_bull|3|0.000|-1.047|-4.3563|3.16|0.01|0.78|1873531
BTCUSDT|orderflow|short|INITIAL_SL|asian|trending_bear|2|0.000|-1.283|-4.1791|3.11|0.01|0.23|2121642
BTCUSDT|orderflow|short|INITIAL_SL|overnight|expansion|4|0.000|-0.944|-3.7776|2.37|0.01|0.13|1823404
ETHUSDT|orderflow|long|INITIAL_SL|overnight|trending_bear|2|0.000|-1.231|-3.7303|2.17|0.05|0.70|1069757
SOLUSDT|cryptoorderflow|short|TIMEOUT|overnight|na|5|0.200|-0.137|-3.4091|3.77|1.17|1.24|2965149
1000PEPEUSDT|orderflow|long|TIMEOUT|asian|na|1|0.000|-0.653|-3.2626|2.65|0.27|0.63|3625678
1000PEPEUSDT|orderflow|short|INITIAL_SL|unknown|na|8|0.000|-0.260|-3.1277|21.64|0.27||814731
ETHUSDT|orderflow|short|INITIAL_SL|us_main|trending_bear|2|0.000|-1.061|-3.0591|1.62|0.05|1.53|326227
ETHUSDT|orderflow|long|TIMEOUT|overnight|expansion|3|0.000|-0.572|-3.0508|3.89|0.05|2.53|3619025
BTCUSDT|orderflow|short|TIMEOUT|overnight|range|4|0.000|-0.476|-2.4517|5.17|0.01|0.75|3607638
BTCUSDT|orderflow|short|INITIAL_SL|unknown|na|2|0.000|-1.183|-2.3662|18.17|0.01||966904
1000PEPEUSDT|orderflow|long|INITIAL_SL|us_main|trending_bear|4|0.000|-0.290|-2.2617|5.93|0.27|1.34|812937
ETHUSDT|orderflow|long|TIMEOUT|overnight|range|3|0.000|-0.363|-2.1996|2.42|0.05|1.36|3616735
1000PEPEUSDT|cryptoorderflow|short|TIMEOUT|asian|na|13|0.385|-0.033|-2.1615|3.02|0.27|0.97|3602033
BTCUSDT|orderflow|short|INITIAL_SL|us_main|range|1|0.000|-1.291|-2.0467|12.49|0.01|0.28|366143
BTCUSDT|orderflow|long|INITIAL_SL|us_main|range|1|0.000|-1.291|-2.0464|4.01|0.01|1.51|341927
1000PEPEUSDT|orderflow|long|INITIAL_SL|us_main|range|28|0.000|-0.047|-2.0236|4.12|0.34|1.06|626305
1000PEPEUSDT|orderflow|long|TIMEOUT|unknown|na|2|0.000|-0.177|-1.9863|0.13|||3616195
1000PEPEUSDT|orderflow|long|INITIAL_SL|asian|trending_bull|13|0.000|-0.099|-1.9317|2.58|0.27|0.98|595207
BTCUSDT|orderflow|long|INITIAL_SL|asian|expansion|1|0.000|-1.316|-1.9171|2.46|0.01|0.56|824682
BTCUSDT|orderflow|short|TIMEOUT|overnight|trending_bull|4|0.000|-0.333|-1.8459|2.61|0.01|0.42|3619984
BTCUSDT|orderflow|short|INITIAL_SL|european|trending_bear|1|0.000|-1.312|-1.8277|3.96|0.01|0.80|349122
ETHUSDT|cryptoorderflow|short|INITIAL_SL|asian|na|20|0.000|-0.088|-1.7683|3.00|0.05|1.22|907405
1000PEPEUSDT|cryptoorderflow|short|TIMEOUT|overnight|na|8|0.375|-0.043|-1.7308|4.48|0.27|0.79|3619948
ETHUSDT|orderflow|short|TIMEOUT|overnight|trending_bear|9|0.222|-0.131|-1.7186|2.77|0.05|1.45|3615238
1000PEPEUSDT|orderflow|short|TIMEOUT|overnight|na|4|0.000|-0.082|-1.6385|2.65|0.27|0.84|3608572
ETHUSDT|orderflow|long|INITIAL_SL|european|range|1|0.000|-1.091|-1.5904|3.67|0.05|0.64|3211260
1000PEPEUSDT|orderflow|long|INITIAL_SL|us_main|trending_bull|5|0.000|-0.209|-1.5696|2.88|0.27|2.67|1217558
